model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,initialization_seed,source_dir
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,12,0.2182118433100873,0.160052550775589,0.10653336553593,0.815125960814307,0.0679942164685109,0.6666666666666666,1.0,27.75,9.237880292315204e-05,9.23093543147901e-05,9.810417226281796e-05,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
standard_dfm,exact,pre_advance,DELTA_SA,12,0.2499810027346831,0.2076016390589358,0.0664932113177948,0.9337990181856136,0.0337129180411145,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
ar,exact,pre_second,DELTA_TS,12,0.251959656467342,0.1848646173354902,-0.0376689511299719,1.0,1.0,0.6666666666666666,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
bridge,exact,pre_second,DELTA_TS,12,0.3561542174133306,0.271933324538907,0.0504661025795201,1.4135366844314372,0.1092960133469001,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,12,0.2681974785489229,0.1863916666666666,-0.1095583333333333,1.064446119308333,0.380038266158234,0.0,0.5,45.333333333333336,0.0002166026543291,0.0001283480363794,0.0005788257827337,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,12,0.2708388208716252,0.1881353064065704,-0.1069315800433116,1.0749293147521426,0.3371188154622825,0.5833333333333334,0.5,46.666666666666664,0.0001761269928705,0.0001152458914005,0.0004641107903586,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
midas_umidas,exact,pre_second,DELTA_TS,12,0.5678132845203745,0.4333814971073701,0.0072989357337582,2.2535881040700345,0.0232270770637397,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,12,0.2587022962584349,0.1959430741208666,-0.0473482731673555,1.026760791333143,0.3763717199027357,0.6666666666666666,1.0,28.583333333333332,9.37581198711988e-05,9.344417099474332e-05,9.848143660208904e-05,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
no_revision,exact,pre_second,DELTA_TS,12,0.2681974785489229,0.1863916666666666,-0.1095583333333333,1.064446119308333,0.380038266158234,0.0,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
release_dfm,exact,pre_second,DELTA_TS,12,0.2535413779557457,0.1780726052292352,-0.0623744546151883,1.0062776775876765,0.7733281819494218,0.6666666666666666,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,12,0.2673793564547344,0.1846388804121035,-0.106305797475991,1.061199083232561,0.3857335971206502,0.6666666666666666,1.0,27.333333333333332,9.224267505133494e-05,9.222104009953332e-05,9.79780322048742e-05,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
